id,salary_cents,bonus_cents,hours_per_week,age
308,412098,65403,34,22
309,446592,73240,45,22
310,265223,81448,44,27
311,369026,69089,44,22
312,482311,80921,48,63
313,202169,87189,40,36
314,320472,11382,36,19
315,342175,20302,26,21
316,384533,56,22,62
317,124303,42687,35,67
318,246372,66980,31,36
319,178101,51688,33,66
320,275579,32471,40,59
321,376363,30894,40,50
322,309047,8953,47,66
323,275791,84598,52,38
324,434156,23668,56,66
325,433886,43568,28,22
326,220806,79995,26,41
327,342083,36297,58,44
328,289064,86385,48,41
329,488744,9601,45,60
330,243959,2984,32,59
331,165649,55460,50,35
332,461782,68143,26,32
333,392595,32189,41,60
334,211852,94223,30,47
335,214250,79957,55,58
336,401888,74033,42,39
337,467384,56410,21,45
338,144596,69221,25,53
339,150170,58362,21,58
340,325060,42364,38,64
341,317941,8333,37,21
342,243498,4896,53,54
343,283265,93231,40,37
344,156515,75779,25,26
345,241608,24155,36,33
346,200679,43088,22,66
347,59214,24623,34,29
348,373837,60241,21,19
349,430011,6714,28,57
350,69902,26707,35,63
351,180420,17238,55,19
352,207432,36769,31,28
353,352589,91869,57,51
354,405511,34093,54,45
355,207057,84698,41,45
356,485955,66071,32,53
357,278211,64966,29,55
358,317160,82522,53,34
359,176080,75366,45,20
360,64257,52717,39,39
361,337377,8802,52,52
362,231030,63899,27,20
363,459119,95837,51,30
364,142169,60800,46,42
365,422596,1561,28,37
366,284569,43361,52,69
367,290490,90458,24,42
368,167613,22859,46,54
369,491797,77729,37,64
370,387987,91807,46,30
371,490897,8097,50,64
372,84605,50992,46,44
373,266311,91648,28,22
374,66477,23022,35,59
375,407791,8861,58,18
376,440416,55194,36,30
377,315115,88551,35,69
378,479410,54341,55,50
379,272423,57687,59,60
380,228245,44283,57,65
381,325410,13589,58,49
382,323657,2257,55,32
383,328316,39528,31,65
384,113027,17561,32,22
385,94111,91272,34,33
386,431740,75562,52,69
387,156116,98217,47,45
388,471142,80977,50,56
389,469438,33216,34,46
390,204448,93112,32,30
391,53838,82269,32,41
392,350003,47694,49,60
393,401496,61567,56,29
394,367738,11276,53,35
395,75251,15961,21,28
396,212163,86099,36,30
397,158575,50061,26,29
398,327074,14007,52,46
399,246620,86972,29,57
400,413828,40261,47,27
401,277373,80938,37,24
402,74351,10880,37,45
403,192573,25996,50,55
404,313815,12410,36,29
405,455927,18133,38,59
406,105773,61760,34,47
407,330183,51164,32,34
408,50914,72175,41,39
409,53880,99378,26,57
410,331965,37397,32,55
411,103773,10872,36,60
412,71389,97490,48,30
413,197587,4777,31,67
414,78684,40906,34,39
415,281049,83149,32,18
416,333100,49678,36,57
417,338997,45368,40,46
418,176761,77957,23,42
419,334492,26674,57,51
420,208501,75167,35,54
421,485348,30406,38,33
422,190094,86700,40,24
423,242184,77865,47,41
424,187677,90163,39,66
425,192417,14642,55,29
426,428529,19148,36,57
427,55512,887,29,29
428,190809,15230,56,39
429,50440,82409,39,32
430,440443,58944,39,63
431,465887,89210,27,49
432,347003,82183,35,45
433,415102,56163,58,34
434,93671,82653,44,52
435,371135,63112,44,66
436,361237,27712,24,23
437,494822,76497,42,43
438,126385,26874,53,57
439,298110,12759,31,45
440,100663,70780,57,59
441,154988,84414,35,68
442,89523,47574,24,58
443,235461,64778,28,33
444,247832,46120,29,22
445,168194,8994,38,27
446,126157,67651,57,26
447,71959,99417,54,56
448,101891,6858,21,43
449,131047,93028,36,66
450,278477,68736,42,37
451,318824,25510,29,50
452,268951,39542,59,39
453,291826,37752,26,40
454,94513,68420,34,48
455,62016,64144,49,44
456,245743,63145,30,23
457,320646,4847,55,32
458,159895,15160,39,36
459,439354,65227,45,36
460,481663,14599,34,44
461,352101,78921,21,32
462,297854,91063,33,24
463,324723,17338,29,42
464,58239,58131,52,54
465,192109,34789,39,57
466,257014,81418,30,64
467,107300,65144,41,35
468,248050,13925,48,45
469,97461,46363,51,48
470,204101,95420,46,38
471,277659,1236,45,51
472,92828,2434,27,22
473,74575,4428,34,29
474,232667,29099,39,30
475,201625,71966,57,18
476,443019,94241,37,63
477,89426,28404,38,25
478,298282,72716,43,68
479,355563,51662,42,39
480,236916,28212,30,65
481,162165,73043,22,28
482,423306,2426,23,44
483,259837,92261,45,26
484,148171,93399,40,68
485,92084,44014,21,24
486,143490,66070,48,58
487,296248,25401,44,24
488,209699,76235,21,42
489,220641,27959,58,25
490,391345,8082,28,57
491,285115,52413,26,45
492,324083,17804,28,39
493,213967,42323,52,22
494,263146,75513,53,59
495,252309,95489,53,43
496,85963,83398,25,51
497,353084,69694,29,20
498,356043,85846,49,42
499,190595,60186,42,67
500,207947,63164,49,57
501,113122,79179,45,64
502,486416,62914,31,52
503,263703,15708,35,47
504,187084,9609,26,52
505,316836,98990,41,57
506,230763,22005,33,61
507,494463,43306,20,24
508,356691,53617,24,52
509,451950,25963,26,44
510,428116,59966,42,35
511,439684,7060,49,43
512,471842,50575,59,65
513,242115,78007,36,56
514,470227,95823,53,28
515,277854,18686,24,34
516,355512,34307,49,66
517,290922,3928,36,41
518,388177,29249,30,28
519,122556,64058,51,38
520,120212,58167,40,46
521,62650,56835,44,64
522,478563,57750,39,45
523,499707,38853,42,60
524,385851,78198,33,68
525,161967,70745,48,25
526,251927,64352,37,49
527,65686,37433,29,26
528,468796,20466,28,24
529,174054,83142,30,67
530,253699,56009,27,52
531,347010,1962,36,36
532,299960,61184,59,20
533,313834,99573,46,69
534,228689,44196,43,41
535,89699,44298,48,24
536,495702,4519,54,47
537,287559,89535,36,49
538,360840,75242,27,21
539,493254,28720,23,52
540,412783,61872,49,22
541,376215,39836,45,24
542,399640,48101,49,40
543,384262,58719,23,44
544,297850,31855,29,50
545,139920,92558,46,43
546,189419,72802,45,60
547,62660,57750,42,27
548,146739,15792,29,42
549,209551,53467,59,44
550,201571,92505,50,23
551,387202,1038,38,67
552,444371,61825,33,41
553,83352,88259,34,40
554,69157,33128,54,65
555,495615,12071,44,68
556,127455,93285,58,19
557,256995,90855,51,30
558,265832,76626,51,32
559,140969,55610,41,67
560,357680,29176,20,66
561,247290,74985,35,31
562,493038,92792,28,66
563,384120,87741,41,52
564,62154,59572,42,21
565,385259,17580,38,45
566,353694,14554,46,33
567,79848,68579,30,18
568,312439,58747,44,20
569,233826,16697,27,36
570,489521,64522,43,54
571,171856,22053,39,48
572,154856,45257,57,58
573,483040,31647,32,69
574,83943,53921,30,53
575,284199,25722,47,40
576,238720,68062,50,62
577,100297,25072,52,52
578,154555,61352,48,27
579,445725,90422,31,54
580,459739,46046,37,57
581,453534,17514,57,33
582,279118,95366,35,24
583,485626,77233,41,62
584,489787,10718,24,34
585,125415,83071,54,64
586,457811,66739,48,60
587,453758,36332,51,35
588,449943,2437,28,41
589,401993,4752,27,60
590,468245,72631,28,63
591,164806,71306,31,65
592,292291,80080,30,43
593,86775,88207,37,56
594,167495,86063,37,27
595,106217,92431,28,52
596,110625,7064,25,31
597,317386,41789,51,55
598,483147,74111,55,46
599,423546,8513,28,58
600,148609,51522,34,55
601,475108,20522,34,40
602,351905,2090,26,63
603,424018,54152,47,64
604,144657,65183,36,34
605,153993,88794,24,25
606,394150,2395,37,66
607,418604,38792,29,56
608,280508,2939,37,27
609,303757,46615,52,49
610,122547,98732,25,24
611,136005,20406,52,21
612,429959,38776,24,31
613,53598,99742,28,59
614,433680,46211,39,25
615,256953,878,47,37
616,195509,72531,26,31
617,340802,86933,48,56
618,499098,59983,33,52
619,242417,75608,29,46
620,251391,79399,29,62
621,181062,84349,20,47
622,428956,90543,44,43
623,442389,57141,25,50
624,446347,85476,20,62
625,428786,40259,50,36
626,200028,14171,36,28
627,449235,51056,49,48
628,419105,11442,46,63
629,298401,54294,51,48
630,198889,87384,32,31
631,125749,36453,29,47
632,265351,36366,20,25
633,313730,93150,53,61
634,289326,60250,29,35
635,481480,89026,46,40
636,264034,48589,48,21
637,225140,14267,28,42
638,144992,14585,44,20
639,349207,84701,23,56
640,448898,68589,48,48
641,99747,6499,25,39
642,166407,97787,33,67
643,180153,27399,45,40
644,257756,12212,53,64
645,122286,41481,35,47
646,117240,62821,54,67
647,422075,34984,23,24
648,55637,84668,22,27
649,96125,26859,21,21
650,416374,35093,51,48
651,410227,70987,55,61
652,361858,33821,45,59
653,299599,44800,59,53
654,130920,41865,52,54
655,50166,34655,58,48
656,442311,36429,35,50
657,425055,48533,41,58
658,144761,87309,39,58
659,306123,26094,22,52
660,119036,22292,26,18
661,288481,15301,56,38
662,192844,15173,20,46
663,428779,11424,23,31
664,351616,7334,48,50
665,497193,72524,49,36
666,323228,23244,30,44
667,194852,9198,57,50
668,69382,10020,32,19
669,407745,59697,30,29
670,473739,48248,46,64
671,263812,86228,36,53
672,110526,18094,37,48
673,76498,90389,29,33
674,270997,38692,35,24
675,382825,93850,28,48
676,372249,77744,43,58
677,279429,40102,26,68
678,133385,79045,29,27
679,399810,52412,46,52
680,489519,31606,52,62
681,298867,96584,56,30
682,189672,96276,36,52
683,75235,85226,57,37
684,192236,12820,41,49
685,424487,64099,40,44
686,273755,80157,46,66
687,275468,74622,50,51
688,340421,93051,57,19
689,404335,97703,55,41
690,82631,87812,33,59
691,189297,29112,37,56
692,57293,59803,59,63
693,320096,58359,24,59
694,116669,59886,29,39
695,443797,49670,58,37
696,121634,84049,37,29
697,84805,97605,44,23
698,314203,68148,38,35
699,139957,44833,52,43
700,129500,48518,56,38
701,95427,16054,56,46
702,315474,72895,24,66
703,411113,11200,52,21
704,302510,22758,27,31
705,484337,92111,44,62
706,242734,11249,30,31
707,69192,74575,28,54
708,306784,16670,29,32
709,78041,85193,57,61
710,460384,45796,55,40
711,84330,1107,38,69
712,207901,36344,32,20
713,274211,18398,25,55
714,72435,15167,22,39
715,402037,20682,26,22
716,418856,37861,24,63
717,162075,99342,29,54
718,229893,24786,41,53
719,55119,86241,49,22
720,206640,26459,39,30
721,391777,54397,28,59
722,97135,81595,55,49
723,326392,30501,42,57
724,468961,74155,35,37
725,217820,81278,38,58
726,234993,53573,35,62
727,439589,59467,56,48
728,149925,86875,54,22
729,94055,74697,59,34
730,85134,9429,57,60
731,470617,89665,29,22
732,391863,6114,43,22
733,426027,73785,46,51
734,104992,60756,33,68
735,468963,27801,37,47
736,460662,63849,24,35
737,421408,15868,48,63
738,70789,81911,52,40
739,328165,39184,40,26
740,162884,71127,45,23
741,59722,16630,49,32
742,185736,22170,55,19
743,308323,50270,53,43
744,221252,75738,59,29
745,320124,32724,29,41
746,222552,19969,34,53
747,105124,97359,34,57
748,455536,95932,36,34
749,465808,9627,23,47
750,272765,25522,29,43
751,379394,37337,22,42
752,113950,7445,39,58
753,235566,77601,21,55
754,268928,30340,39,62
755,230121,33017,54,38
756,106872,79150,31,55
757,133194,5215,28,47
758,208614,41202,53,19
759,433586,87538,44,19
760,89173,69770,27,67
761,224758,58657,41,50
762,136769,79812,48,54
763,143234,93872,57,58
764,253454,3050,50,37
765,174120,90791,23,67
766,183270,22423,45,20
767,498288,65421,37,18
768,438236,98786,38,54
769,62937,55609,35,29
770,190846,4897,59,68
771,264623,36456,32,34
772,301397,88883,30,39
773,212921,36092,35,36
774,100978,30078,50,59
775,166479,4059,59,45
776,313220,69333,33,45
777,309184,30404,24,29
778,223085,78875,30,20
779,472646,48306,59,24
780,260551,70826,23,60
781,81102,55581,52,34
782,197446,26391,50,67
783,379109,47644,24,61
784,449861,64805,28,23
785,278632,35964,25,31
786,458654,81089,41,34
787,139658,38200,49,23
788,304378,18310,22,40
789,144754,1696,45,26
790,106931,11431,50,49
791,489037,96722,31,53
792,262559,44570,35,62
793,57617,63559,53,38
794,136780,55094,57,59
795,167349,65788,51,39
796,154012,611,55,56
797,209658,99971,31,39
798,198870,30542,54,50
799,354482,39592,33,42
800,116750,85830,26,37
801,195735,82090,32,28
802,487553,47335,30,46
803,355320,58342,31,57
804,378370,96303,46,58
805,341345,67697,42,53
806,460003,92161,32,51
807,489949,87077,24,67
808,229712,54149,44,41
809,263929,95969,55,49
810,193442,2555,42,59
811,381570,4569,41,33
812,105830,64219,37,60
813,322379,98255,29,55
814,489801,41283,34,46
815,82723,2473,40,32
816,138691,24379,23,21
817,361967,98037,47,33
818,80943,35780,35,58
819,358302,90363,53,32
820,318401,35934,43,35
821,427210,7385,52,46
822,471427,51671,21,41
823,444832,44516,49,56
824,357653,57560,50,27
825,181121,58307,20,45
826,135016,32562,26,41
827,306074,92170,37,31
828,265036,59145,48,66
829,382383,36754,20,30
830,401714,25446,24,49
831,495385,31111,54,31
832,78369,90682,54,34
833,320016,73381,49,22
834,368173,89849,23,66
835,75190,71304,38,34
836,240446,70143,22,54
837,181925,83456,44,65
838,278866,90424,26,59
839,252574,96885,28,61
840,129311,30593,59,51
841,75922,15534,52,33
842,264111,74108,24,59
843,286845,95955,49,47
844,389011,58261,26,53
845,175724,6737,36,56
846,489387,36709,27,56
847,448632,78888,54,69
848,373081,61422,53,60
849,98271,75082,22,65
850,281408,69727,23,48
851,489642,6666,46,36
852,394011,78483,28,67
853,151847,78011,34,19
854,337975,87304,24,62
855,160836,4398,27,46
856,180971,71020,49,40
857,69354,69557,32,23
858,264036,96588,25,18
859,372371,3341,29,40
860,198853,45992,51,41
861,363867,535,57,58
862,472575,91553,58,42
863,237199,96556,44,22
864,470935,79691,45,61
865,493640,88703,59,47
866,82576,21593,41,65
867,179061,15099,45,34
868,276268,50468,25,32
869,366281,93721,58,46
870,377453,17073,43,46
871,56302,90139,52,25
872,474391,46590,48,65
873,350224,92681,54,26
874,157148,82597,54,64
875,256693,26905,25,44
876,51151,2832,20,38
877,408176,98985,25,36
878,333914,65892,20,44
879,462435,19631,53,57
880,178872,43231,37,64
881,212947,65196,58,24
882,350862,24023,25,68
883,276611,33195,44,68
884,167544,95114,59,55
885,472716,94173,37,56
886,274550,78811,21,59
887,60711,30162,48,66
888,342098,38042,21,46
889,183419,94615,42,31
890,291141,19971,24,42
891,236405,51382,24,35
892,401888,67976,49,58
893,235629,4471,56,46
894,313497,40458,31,28
895,320543,68482,52,22
896,106770,19611,47,36
897,350311,61918,25,39
898,312501,1548,26,66
899,493972,42728,38,36
900,315309,98524,59,58
901,432475,26172,47,30
902,369763,70967,59,20
903,67940,22271,52,18
904,441642,44920,28,37
905,473019,51958,32,57
906,147108,82306,46,28
907,486835,90775,41,39
908,492390,16785,30,64
909,457649,9152,47,22
910,93024,47575,53,59
911,264311,65957,23,64
912,347905,90591,49,26
913,461300,94177,28,55
914,200507,4991,47,67
915,272275,74881,27,68
916,331285,12076,47,29
917,254903,99328,57,21
918,444501,52871,43,25
919,238338,67481,33,21
920,73954,950,25,56
921,157873,92688,59,55
922,245394,2835,52,24
923,459135,72062,54,56
924,101871,14764,26,59
925,138876,67674,57,45
926,300601,48487,50,34
927,464972,60490,47,53
928,198191,42000,58,34
929,193155,70804,52,45
930,273310,45866,36,19
931,81426,20840,59,67
932,344852,96400,23,63
933,247413,68757,37,18
934,83858,52637,46,42
935,73301,5249,29,66
936,287218,16188,48,22
937,110025,2605,36,33
938,151958,81994,43,26
939,158851,68295,30,58
940,327423,22265,21,22
941,431069,54529,28,37
942,286233,4184,34,50
943,322955,11727,35,18
944,263598,16498,44,39
945,489377,1963,29,42
946,350088,14767,35,63
947,397542,79723,25,24
948,230938,48080,32,68
949,476869,13226,47,48
950,262558,40772,33,19
951,159583,42847,47,56
952,429053,12487,54,56
953,104940,60820,41,21
954,353701,13723,54,69
955,191333,43006,45,43
956,69021,30122,23,41
957,94645,29903,57,37
958,87145,24620,49,52
959,179106,45414,51,27
960,237924,46227,20,25
961,199351,21739,56,69
962,268427,1009,37,51
963,493020,16338,55,22
964,53681,86809,51,57
965,455060,63398,30,67
966,302898,14761,40,32
967,380062,77892,48,35
968,446300,25416,50,68
969,96007,56897,36,50
970,297031,18499,33,26
971,254141,69812,57,26
972,190505,32364,48,63
973,111367,70991,49,44
974,464241,63919,23,54
975,470185,49753,24,24
976,64055,20937,34,69
977,426471,23448,45,63
978,308189,90210,43,54
979,372389,39701,22,68
980,66650,40140,31,33
981,242759,15391,23,66
982,473293,67002,43,19
983,106632,84288,59,62
984,384875,85171,53,59
985,474283,74800,22,28
986,402772,81598,53,63
987,428796,72616,51,42
988,208281,47683,24,48
989,464698,24107,56,45
990,416457,66560,54,50
991,64503,1963,48,45
992,252634,82792,23,66
993,277694,99882,30,48
994,426884,67952,35,47
995,207221,5003,55,66
996,362405,44857,20,61
997,119535,63585,47,59
998,351630,68985,40,22
999,55455,16333,52,61
1000,141013,36672,47,40
1001,81078,72470,47,36
1002,345464,25032,39,21
1003,387544,59777,48,54
1004,398884,91889,21,50
1005,452064,75247,40,30
1006,415157,41410,46,37
1007,280412,83269,45,40
1008,241341,11817,20,56
1009,435857,88672,29,45
1010,122077,45960,40,64
1011,354284,68839,53,67
1012,363238,35210,31,32
1013,184900,43879,47,58
1014,174260,82922,56,63
1015,227017,48773,20,53
1016,117164,91038,49,47
1017,439569,79797,32,46
1018,233157,98039,55,18
1019,289232,31389,25,33
1020,201128,27982,20,65
1021,276838,34933,49,21
1022,224980,56042,34,19
1023,218315,87910,36,37
1024,234361,8978,25,49
1025,153618,12282,25,35
1026,232988,46391,50,64
1027,321342,17580,28,65
1028,386307,59994,49,25
1029,216224,41635,21,61
1030,118684,61723,49,62
1031,158205,79987,30,25
1032,470914,25394,32,46
1033,188751,63150,27,59
1034,472842,23422,38,64
1035,205158,90401,49,36
1036,175810,65954,52,23
1037,212833,98016,57,46
1038,463845,21361,50,21
1039,256797,59930,46,39
1040,448874,70138,52,55
1041,333246,39180,34,26
1042,226194,5578,34,37
1043,351364,25605,56,21
1044,455895,72641,31,28
1045,479848,23103,58,18
1046,393476,59513,34,26
1047,146694,65789,36,30
1048,435696,26583,34,51
1049,458788,44492,39,29
1050,266439,13234,40,60
1051,428671,73315,24,64
1052,476098,89089,56,66
1053,314072,66304,51,69
1054,430254,72323,35,26
1055,118875,9202,32,60
1056,386695,79392,53,62
1057,299183,38894,42,48
1058,176088,71037,36,23
1059,446202,28389,49,31
1060,53030,18950,59,60
1061,465813,96628,59,23
1062,148173,10405,38,37
1063,116404,22040,22,20
1064,260920,50774,57,67
1065,219396,57109,25,49
1066,196050,78342,35,44
1067,359709,70880,22,24
1068,293837,96359,49,22
1069,168202,65134,45,56
1070,427196,500,22,42
1071,261819,62038,55,19
1072,251852,78243,33,55
1073,322537,93359,47,64
1074,375954,42889,56,53
1075,260047,44561,35,37
1076,93242,74151,53,24
1077,154503,54083,29,45
1078,479243,42315,52,47
1079,483358,548,37,54
1080,162805,24776,38,55
1081,60960,76974,44,67
1082,218318,17939,34,22
1083,394887,70886,22,36
1084,229241,37607,55,35
1085,203481,14054,29,22
1086,227226,76703,51,24
1087,50230,37270,35,69
1088,322296,5181,55,68
1089,244239,80749,47,64
1090,373160,2135,22,22
1091,406856,54247,33,37
1092,151901,3,23,58
1093,413005,5746,47,38
1094,363882,43339,25,30
1095,174990,40904,59,31
1096,301632,86383,57,46
1097,62445,63502,43,50
1098,296228,98335,53,28
1099,449927,13443,53,35
1100,254186,39636,51,60
1101,424091,79260,30,23
1102,102966,11385,32,47
1103,54678,83828,48,37
1104,71290,77939,44,27
1105,216162,77821,47,45
1106,135852,2847,41,63
1107,368588,15841,32,24
1108,118316,4636,27,43
1109,255219,42839,56,45
1110,70942,78875,39,37
1111,476018,13049,39,27
1112,382108,44846,45,25
1113,333868,16380,50,64
1114,490777,71499,53,53
1115,196572,30000,34,52
1116,386756,77101,41,66
1117,114264,21086,44,35
1118,66975,75134,50,43
1119,378793,89761,31,53
1120,123889,76406,20,28
1121,278243,59142,32,60
1122,179804,1039,37,51
1123,166072,60397,35,43
1124,72386,67285,20,34
1125,294642,62573,48,25
1126,255948,37328,30,45
1127,352743,88869,54,64
1128,330562,38167,32,38
1129,418792,14368,33,47
1130,440149,52147,40,69
1131,417058,65024,23,21
1132,489344,4986,45,47
1133,58803,13659,57,41
1134,395794,68256,56,39
1135,243780,86148,53,41
1136,76111,57853,41,40
1137,61079,51617,30,26
1138,152200,5971,41,47
1139,448062,65983,52,53
1140,461290,2927,46,68
1141,269362,87954,41,22
1142,87603,21294,33,64
1143,431631,28525,32,49
1144,85398,49048,36,31
1145,358753,65856,38,59
1146,105450,95524,56,28
1147,174647,45347,40,53
1148,118994,26964,35,69
1149,463007,76002,40,36
1150,356816,10730,42,52
